source,target
"Trnog bối cảnh đó, tác nhân buộc phải ựla chọn hành động ựda trên các suy luận xác suất, đnồg htời liên tục đánh giá liạ tnìh hình sau mỗi hành động ểđ xác đnịh mức ộđ hiệu quả của hành động vừa thực hiện.","Trong bối cảnh đó, tác nhân buộc phải lựa chọn hành động dựa trên các suy luận xác suất, đồng thời liên tục đánh giá lại tình hình sau mỗi hành động để xác định mức độ hiệu quả của hành động vừa thực hiện."
"Với tinh thần dũng cảm, Lê Tú vừa được Trung ương Đoàn Thanh niên Cộng sản Hồ Chí Minh trao tặng huy hiệu ""Tuổi trẻ dũng cảm"".","Với tinh thần dũng cảm, Lê Tú vừa được Trung ương Đoàn Thanh niên Cộng sản Hồ Chí Minh trao tặng huy hiệu ""Tuổi trẻ dũng cảm""."
"[4] Một số công ty như OpenAI, Google DeepMind và Meta, đang đặt mục tiêu phát triển trí tuệ nhân tạo tổng quát (AGI)—một dạng AI có khả năng thực hiện hầu hết mọi nhiệm vụ nhận thức ở mức độ ngang bằng hoặc vượt trội so với con người.","[4] Một số công ty như OpenAI, Google DeepMind và Meta, đang đặt mục tiêu phát triển trí tuệ nhân tạo tổng quát (AGI)—một dạng AI có khả năng thực hiện hầu hết mọi nhiệm vụ nhận thức ở mức độ ngang bằng hoặc vượt trội so với con người."
"Hành động của Lê Tú không chỉ tgể hiện sự bình tĩnh, bản lĩnh trong tình huống khẩn cấp mà còn là minh cgứng rõ nét cho tinh thần trách nhoệm, lòng dũng cảm và ý thức vì cộng đồng của sinh viên Việt Nam.","Hành động của Lê Tú không chỉ thể hiện sự bình tĩnh, bản lĩnh trong tình huống khẩn cấp mà còn là minh chứng rõ nét cho tinh thần trách nhiệm, lòng dũng cảm và ý thức vì cộng đồng của sinh viên Việt Nam."
"""Tôi m0ng rằng, mỗi đoàn viên, thanh niên hãy luôn tự đặt câu hỏi: Mình phải làm gì để đất nước phát triển nhanh hơn?","""Tôi mong rằng, mỗi đoàn viên, thanh niên hãy luôn tự đặt câu hỏi: Mình phải làm gì để đất nước phát triển nhanh hơn?"
"[66] Trong lĩnh vực tính toán cảm xúc, một số thành tựu đáng chú ý ở mức độ vừa phải bao gồm hpân tích tình cmả dựa trên văn bản và, gần đaay hơn, phnâ tích tình cảm đa phương thức.","[66] Trong lĩnh vực tính toán cảm xúc, một số thành tựu đáng chú ý ở mức độ vừa phải bao gồm phân tích tình cảm dựa trên văn bản và, gần đây hơn, phân tích tình cảm đa phương thức."
"[c] ""Tasc nhân"" được hiểu laf bất kỳ thực thể nào có khả năng nhận thức và thực hiện hành động trong thế giới.","[c] ""Tác nhân"" được hiểu là bất kỳ thực thể nào có khả năng nhận thức và thực hiện hành động trong thế giới."
"[71] Công việc đầu tiêm mà bây giờ được công nhận là trí tuệ nhân tạo là thiết kế hình thức ""tế bào thần kinh nhân tạo"" do McCullouch và Pitts đưa ra năm 1943.","[71] Công việc đầu tiên mà bây giờ được công nhận là trí tuệ nhân tạo là thiết kế hình thức ""tế bào thần kinh nhân tạo"" do McCullouch và Pitts đưa ra năm 1943."
"[16] Bên cạnh đó, quá trình thu thập và chuẩn hóa tri thức phục vụ cho các ứng dụng AI cũng đặt ra nhiều thách thức về cả quy mô, độ chính xác và tính phù hợp với ngữ cảnh ứng dụng cụ thể.","[16] Bên cạnh đó, quá trình thu thập và chuẩn hóa tri thức phục vụ cho các ứng dụng AI cũng đặt ra nhiều thách thức về cả quy mô, độ chính xác và tính phù hợp với ngữ cảnh ứng dụng cụ thể."
[e] Máy học bao gồm nhiều hình thức tiếp cận khác nhau.,[e] Máy học bao gồm nhiều hình thức tiếp cận khác nhau.
"[66] Trong lĩnh vực tính toán cảm xúc, một số thành tựu đáng chú ý ở mức độ vừa phải bao gồm phân tích tình cảm dựa trên văn bản và, 9ần đây hơn, phân tích tình cảm đa phương thức.","[66] Trong lĩnh vực tính toán cảm xúc, một số thành tựu đáng chú ý ở mức độ vừa phải bao gồm phân tích tình cảm dựa trên văn bản và, gần đây hơn, phân tích tình cảm đa phương thức."
[15] Ngay car con gnười cnũg hiếm khi aử dụng phương pháp suy diễn từng bước mà những nghiên cứu AI thời kỳ đầu có thể mô phỏng.,[15] Ngay cả con người cũng hiếm khi sử dụng phương pháp suy diễn từng bước mà những nghiên cứu AI thời kỳ đầu có thể mô phỏng.
Vấn đề ổtng qáut của việc mô phỏng (hay tạo r)a khả năng trí tuệ đã được chia thành các bià toán con.,Vấn đề tổng quát của việc mô phỏng (hay tạo ra) khả năng trí tuệ đã được chia thành các bài toán con.
"Nghiên cứu về lý trí cơ học hoặc ""chính thức"" bắt đầu với các nhà triết học và toán học thời cổ đại.","Nghiên cứu về lý trí cơ học hoặc ""chính thức"" bắt đầu với các nhà triết học và toán học thời cổ đại."
"[13] Đến cuối những năm 1980 và 1990, các phương pháp xử lý thông tin không chắc chắn hoặc không đầy đủ đã được phát trinể bằng cách sử dụng các khái nệim từ lý thuyết áxc suất àv kinh ết học.","[13] Đến cuối những năm 1980 và 1990, các phương pháp xử lý thông tin không chắc chắn hoặc không đầy đủ đã được phát triển bằng cách sử dụng các khái niệm từ lý thuyết xác suất và kinh tế học."
"Các mục tiêu truyền thống của nghiên cứu AI bao gồm học tập, lập luận, biểu diễn tri thức, lập kế hoạch, xử lý ngôn ngữ tự nhiên, nhận thức vaf hỗ trợ robot.","Các mục tiêu truyền thống của nghiên cứu AI bao gồm học tập, lập luận, biểu diễn tri thức, lập kế hoạch, xử lý ngôn ngữ tự nhiên, nhận thức và hỗ trợ robot."
